pt_id;pt_cod;pt_sub_red_cod;pt_nombre;pt_ciudad;pt_provincia;pt_direccion;pt_estado;pt_fecha_reg;pt_fecha_mod;pt_cod_provincia;pt_cod_ciudad;pt_tipo_oficina;pt_tid;pt_corresponsal;pt_cuenta;pt_tipocta;pt_identificacion;pt_parroquia;pt_cod_parroquia
25004353;998;CNB0001-0001;AG DE PRUEBAS SYS2;GUAYAQUIL;GUAYAS;AV GUILLERMO PAREJA ROLANDO ,;A;Apr 18 2022  5:02PM;Dec 6 2023  3:00PM;9;1;5;998;;;;;;
25004354;1;CNB0001-0001;TIA CALLE BOLIVAR VINCES;VINCES;LOS RIOS;CALLE BOLIVAR;A;Apr 19 2022  3:37PM;;12;23;5;;;;;;;
25004355;3;CNB0001-0001;TIA ROMULO RENDON BALZAR;BALZAR;GUAYAS;ROMULO RENDON;A;Apr 19 2022  3:37PM;;9;64;5;;;;;;;
25004356;32;CNB0001-0001;TIA CINCO ESQUINAS QUININDE;QUININDE;ESMERALDAS;SIMON PLATA TORRES;A;Apr 19 2022  3:37PM;;8;110;5;;;;;;;
25004357;22;CNB0001-0001;MC EL PASEO MILAGRO;MILAGRO;GUAYAS;AV. PRESIDENTE ESPINOZA;A;Apr 19 2022  3:37PM;;9;13;5;;;;;;;
25004358;43;CNB0001-0001;AG VENEZUELA UIO;QUITO;PICHINCHA;VENEZUELA;A;Apr 19 2022  3:37PM;;17;10;5;;;;;;;
25004359;45;CNB0001-0001;MC ALBORADA GYE;GUAYAQUIL;GUAYAS;AV. RODOLFO BAQUERIZO NAZUR;A;Apr 19 2022  3:37PM;;9;1;5;;;;;;;
25004360;82;CNB0001-0001;TIA COLON SANTA ROSA;SANTA ROSA;EL ORO;AV. COLON;A;Apr 19 2022  3:37PM;;7;30;5;;;;;;;
25004361;76;CNB0001-0001;TIA GUAYAQUIL S/N Y JOSE MEJIA SAN CAMILO;QUEVEDO;LOS RIOS;GUAYAQUIL;A;Apr 19 2022  3:37PM;;12;5;5;;;;;;;
25004362;48;CNB0001-0001;MC HIPER ALBAN BORJA GYE;GUAYAQUIL;GUAYAS;AV. CARLOS JULIO AROSEMENA;A;Apr 19 2022  3:37PM;;9;1;5;;;;;;;
25004363;71;CNB0001-0001;TIA AV 15 DE AGOSTO PLAYAS;PLAYAS;GUAYAS;AV. 15 DE AGOSTO;A;Apr 19 2022  3:37PM;;9;11;5;;;;;;;
25004364;1428;CNB0001-0002;SRNP VIVALCON POMASQUI UIO;QUITO;PICHINCHA;CALLE MANUEL CORDOVA, SN, CALL;A;Apr 19 2022  3:37PM;Dec 20 2023  2:15PM;17;10;5;1428;;;;;;
25004365;106;CNB0001-0001;AG MATRIZ D2B;GUAYAQUIL;GUAYAS;AV. GUILLERMO PAREJA ROLANDO,;A;Apr 19 2022  3:37PM;Aug 23 2023  1:46PM;9;1;5;106;;;;;;
25004366;224;CNB0001-0001;MC FENIX GYE;GUAYAQUIL;GUAYAS;GOMEZ RENDON;A;Apr 19 2022  3:37PM;;9;1;5;;;;;;;
25004367;228;CNB0001-0001;AG CALLE SUCRE LOJA;LOJA;LOJA;CALLE SUCRE;A;Apr 19 2022  3:37PM;;11;53;5;;;;;;;
25004368;270;CNB0001-0001;TIA AV MACHALA PASAJE;PASAJE;EL ORO;MACHALA;A;Apr 19 2022  3:37PM;;7;26;5;;;;;;;
25004369;266;CNB0001-0001;TIA AV SEMINARIO VENTANAS;VENTANAS;LOS RIOS;AV. SEMINARIO;A;Apr 19 2022  3:37PM;;12;6;5;;;;;;;
25004370;259;CNB0001-0001;TIA CALLE SUCRE MACHALA;MACHALA;EL ORO;SUCRE;A;Apr 19 2022  3:37PM;;7;9;5;;;;;;;
25004371;264;CNB0001-0001;TIA AV 10 DE AGOSTO RIOBAMBA;RIOBAMBA;CHIMBORAZO;10 DE AGOSTO;A;Apr 19 2022  3:37PM;;6;49;5;;;;;;;
25004372;323;CNB0001-0001;TIA AV CHONE EL CARMEN;EL CARMEN;MANABI;AV. CHONE;A;Apr 19 2022  3:37PM;;13;3;5;;;;;;;
25004373;372;CNB0001-0002;SRNP VELEZ Y ASOCIADOS MILAGRO;MILAGRO;GUAYAS;JUAN MONTALVO;A;Apr 19 2022  3:37PM;;9;13;5;;;;;;;
25004374;529;CNB0001-0001;AG FIDEL ROSALES SANTA ISABEL;SANTA ISABEL;AZUAY;CALLE FIDEL ROSALES;A;Apr 19 2022  3:37PM;;1;72;5;;;;;;;
25004375;568;CNB0001-0001;SANTA MARIA SANTA CLARA UIO;QUITO;PICHINCHA;VERSALLE;A;Apr 19 2022  3:37PM;;17;10;5;;;;;;;
25004376;565;CNB0001-0001;TIA 24 DE MAYO SALITRE;URBINA;GUAYAS;AV. 24 DE MAYO;A;Apr 19 2022  3:37PM;;9;60;5;;;;;;;
25004377;741;CNB0001-0002;SRNP DISENSA 4,5 MONTECRISTI;MONTECRISTI;MANABI;VIA MANTA - MONTECRISTI  KM 6.;A;Apr 19 2022  3:37PM;;13;81;5;;;;;;;
25004378;848;CNB0001-0002;SRNP DISENSA MANABI PEDERNALES;PEDERNALES;MANABI;MANABI;A;Apr 19 2022  3:37PM;;13;120;5;;;;;;;
25004379;958;CNB0001-0002;SRNP BABY POINT DE MIRANDA KIDS MANTA;MANTA;MANABI;AV 24 , SN, ENTRE FLAVIO ALFAR;A;Apr 19 2022  3:37PM;Dec 20 2023 10:17AM;13;37;5;958;;;;;;
25004380;962;CNB0001-0002;SRNP SANDRA ORTEGA HUAQUILLAS;HUAQUILLAS;EL ORO;CALLE MARTHA BUCARAM , SN, CAL;A;Apr 19 2022  3:37PM;Dec 20 2023 11:04AM;7;69;5;962;;;;;;
25004381;1026;CNB0001-0002;SRNP DISTRIBUIDORA GRAN LECHE MILAGRO;MILAGRO;GUAYAS;CALLE 24 DE MAYO, SN, 12 DE FE;A;Apr 19 2022  3:37PM;Dec 20 2023  1:30PM;9;13;5;1026;;;;;;
25004382;1039;CNB0001-0002;SRNP RECAUDACIONES SEGURAS CUE;CUENCA;AZUAY;PARQUE LA LIBERTAD - AV. AMERI;A;Apr 19 2022  3:37PM;;1;20;5;;;;;;;
25004383;1051;CNB0001-0002;SRNP MUEBLELANDIA CAYAMBE;CAYAMBE;PICHINCHA;CALLE ASCAZUBI;A;Apr 19 2022  3:37PM;;17;105;5;;;;;;;
25004384;1059;CNB0001-0001;TIA 28 DE MAYO MOCACHE;MOCACHE;LOS RIOS;28 DE MAYO;A;Apr 19 2022  3:37PM;;12;67;5;;;;;;;
25004385;1109;CNB0001-0002;SRNP COPIAS NORMITA GYE;GUAYAQUIL;GUAYAS;COOP NELSON MANDELA 2;A;Apr 19 2022  3:37PM;;9;1;5;;;;;;;
25004386;1112;CNB0001-0002;SRNP VANDAN IBARRA;IBARRA;IMBABURA;CALLE TEODORO GOMEZ;A;Apr 19 2022  3:37PM;;10;79;5;;;;;;;
25004387;1131;CNB0001-0002;SRNP SUPERMERCADOS KRLITOS GYE;GUAYAQUIL;GUAYAS;COOP. INDEPENDENCIA 2 CALLE MI;A;Apr 19 2022  3:37PM;Dec 20 2023  1:39PM;9;1;5;1131;;;;;;
25004388;1169;CNB0001-0002;SRNP RAFA NOVEDADES GYE;GUAYAQUIL;GUAYAS;SEGUNDO CALLEJON;A;Apr 19 2022  3:37PM;;9;1;5;;;;;;;
25004389;1150;CNB0001-0002;SRNP DIANA CORONEL MACHANGARA CUE;CUENCA;AZUAY;CALLE PATOQUINOAS;A;Apr 19 2022  3:37PM;;1;20;5;;;;;;;
25004390;1174;CNB0001-0002;SRNP SIGLO 22 GYE;GUAYAQUIL;GUAYAS;COOP. 29 DE ABRIL, MZ 1327 S.;A;Apr 19 2022  3:37PM;Dec 20 2023  1:41PM;9;1;5;1174;;;;;;
25004391;1216;CNB0001-0002;SRNP REDSERSA AV REMIGIO CRESPO CUE;CUENCA;AZUAY;AV REMIGIO CRESPO TORAL, 235,;A;Apr 19 2022  3:37PM;Dec 20 2023  1:43PM;1;20;5;1216;;;;;;
25004392;1217;CNB0001-0002;SRNP REDSERSA UNCOVIA VIA PATAMARCA CUE;CUENCA;AZUAY;VIA PATAMARCA, SN, DE LOS CHAS;A;Apr 19 2022  3:37PM;Dec 20 2023  1:44PM;1;20;5;1217;;;;;;
25004393;1229;CNB0001-0002;SRNP EL ABRIGO DE SUS SUE+â€˜OS PELILEO;SAN PEDRO DE PELILEO;TUNGURAHUA;CALLE OLMEDO;A;Apr 19 2022  3:37PM;;18;101;5;;;;;;;
25004394;1256;CNB0001-0002;SRNP YALOBOX NARANJAL;NARANJAL;GUAYAS;VIA A NARANJAL;A;Apr 19 2022  3:37PM;;9;42;5;;;;;;;
25004395;1259;CNB0001-0002;SRNP DAVID LOPEZ UIO;QUITO;PICHINCHA;CALLE GONZALO ZALDUMBIDE, N51-;A;Apr 19 2022  3:37PM;Dec 20 2023  1:49PM;17;10;5;1259;;;;;;
25004396;1262;CNB0001-0002;SRNP YALOBOX UIO;QUITO;PICHINCHA;AV AMAZONAS , 37-41, EDIFICIO;A;Apr 19 2022  3:37PM;Dec 20 2023  1:50PM;17;10;5;1262;;;;;;
25004397;1287;CNB0001-0002;SRNP TIENDAS PRYSCA BALZAR;BALZAR;GUAYAS;SECTOR SAN JACINTO;A;Apr 19 2022  3:37PM;;9;64;5;;;;;;;
25004398;1284;CNB0001-0002;SRNP T SOLUCIONES UIO;QUITO;PICHINCHA;CALLE PAQUISHA, S17-115, CALLE;A;Apr 19 2022  3:37PM;Dec 20 2023  1:53PM;17;10;5;1284;;;;;;
25004399;3956;CNB0001-0002;SRNP FARMACIA ECONOMICA JUNIN;JUNIN;MANABI;10 DE AGOSTO, SN, Y ELOY ALFAR;A;Apr 19 2022  3:37PM;Dec 21 2023 10:44AM;13;1761;5;3956;;;;;;
25004400;1289;CNB0001-0002;SRNP MONICA MOGROVEJO CUE;CUENCA;AZUAY;AV 1 DE SEPTIEMBRE, 05-70, CAL;A;Apr 19 2022  3:37PM;Dec 20 2023  1:53PM;1;20;5;1289;;;;;;
25004401;1335;CNB0001-0002;SRNP MEGA REBAJAS  GYE;GUAYAQUIL;GUAYAS;CALLE ALIANZA;A;Apr 19 2022  3:37PM;;9;1;5;;;;;;;
25004402;1339;CNB0001-0002;SRNP EL SABORCITO MANTA;MANTA;MANABI;VIA AL PALMAR - CALLE SECUNDAR;A;Apr 19 2022  3:37PM;Dec 20 2023  2:09PM;13;37;5;1339;;;;;;
25004403;1366;CNB0001-0002;SRNP CYBER LUNABYR STO DOMINGO;SANTO DOMINGO;SANTO DOMINGO DE LOS;VIA QUEVEDO KM 6 1/2;A;Apr 19 2022  3:37PM;;23;2;5;;;;;;;
25004404;1368;CNB0001-0001;TIA AV CHILE PORTOVIEJO;PORTOVIEJO;MANABI;AV. CHILE;A;Apr 19 2022  3:37PM;;13;16;5;;;;;;;
25004405;1381;CNB0001-0001;TIA AV UNIDAD NACIONAL SHUSHUFINDI;SHUSHUFINDI;SUCUMBIOS;AV UNIDAD NACIONAL;A;Apr 19 2022  3:37PM;;21;119;5;;;;;;;
25004406;1411;CNB0001-0001;SANTA MARIA AV LA ECUATORIANA UIO;QUITO;PICHINCHA;AV. LA ECUATORIANA;A;Apr 19 2022  3:37PM;;17;10;5;;;;;;;
