pt_id,pt_cod,pt_sub_red_cod,pt_nombre,pt_ciudad,pt_provincia,pt_direccion,pt_estado,pt_fecha_reg,pt_fecha_mod,pt_cod_provincia,pt_cod_ciudad,pt_tipo_oficina,pt_tid,pt_corresponsal,pt_cuenta,pt_tipocta,pt_identificacion,pt_cod_parroquia,pt_parroquia
2,998,CNB0001-0001,AG DE PRUEBAS SYS2,GUAYAQUIL,GUAYAS,"AV GUILLERMO PAREJA ROLANDO ,",A,Apr 18 2022  5:02PM,Dec 6 2023  3:00PM,9,1,5,998,,,,,090112,TARQUI
3,1,CNB0001-0001,TIA CALLE BOLIVAR VINCES,VINCES,LOS RIOS,CALLE BOLIVAR,A,Apr 19 2022  3:37PM,,12,23,5,,,,,,120850,"VINCES, CABECERA CANTONAL"
4,3,CNB0001-0001,TIA ROMULO RENDON BALZAR,BALZAR,GUAYAS,ROMULO RENDON,A,Apr 19 2022  3:37PM,,9,64,5,,,,,,090450,"BALZAR, CABECERA CANTONAL"
5,32,CNB0001-0001,TIA CINCO ESQUINAS QUININDE,QUININDE,ESMERALDAS,SIMON PLATA TORRES,A,Apr 19 2022  3:37PM,,8,110,5,,,,,,080450,"ROSA Z�RATE (QUININD�), CABECERA CANTONAL"
6,22,CNB0001-0001,MC EL PASEO MILAGRO,MILAGRO,GUAYAS,AV. PRESIDENTE ESPINOZA,A,Apr 19 2022  3:37PM,,9,13,5,,,,,,091050,"MILAGRO, CABECERA CANTONAL"
7,43,CNB0001-0001,AG VENEZUELA UIO,QUITO,PICHINCHA,VENEZUELA,A,Apr 19 2022  3:37PM,,17,10,5,,,,,,170103,CENTRO HIST�RICO
8,45,CNB0001-0001,MC ALBORADA GYE,GUAYAQUIL,GUAYAS,AV. RODOLFO BAQUERIZO NAZUR,A,Apr 19 2022  3:37PM,,9,1,5,,,,,,090112,TARQUI
9,82,CNB0001-0001,TIA COLON SANTA ROSA,SANTA ROSA,EL ORO,AV. COLON,A,Apr 19 2022  3:37PM,,7,30,5,,,,,,071201,SANTA ROSA
10,76,CNB0001-0001,TIA GUAYAQUIL S/N Y JOSE MEJIA SAN CAMILO,QUEVEDO,LOS RIOS,GUAYAQUIL,A,Apr 19 2022  3:37PM,,12,5,5,,,,,,120502,SAN CAMILO
11,48,CNB0001-0001,MC HIPER ALBAN BORJA GYE,GUAYAQUIL,GUAYAS,AV. CARLOS JULIO AROSEMENA,A,Apr 19 2022  3:37PM,,9,1,5,,,,,,090112,TARQUI
12,71,CNB0001-0001,TIA AV 15 DE AGOSTO PLAYAS,PLAYAS,GUAYAS,AV. 15 DE AGOSTO,A,Apr 19 2022  3:37PM,,9,11,5,,,,,,092150,"GENERAL VILLAMIL (PLAYAS), CABECERA CANTONAL"
13,1428,CNB0001-0002,SRNP VIVALCON POMASQUI UIO,QUITO,PICHINCHA,"CALLE MANUEL CORDOVA, SN, CALL",A,Apr 19 2022  3:37PM,Dec 20 2023  2:15PM,17,10,5,1428,,,,,170177,POMASQUI
14,106,CNB0001-0001,AG MATRIZ D2B,GUAYAQUIL,GUAYAS,"AV. GUILLERMO PAREJA ROLANDO,",A,Apr 19 2022  3:37PM,Aug 23 2023  1:46PM,9,1,5,106,,,,,090112,TARQUI
15,224,CNB0001-0001,MC FENIX GYE,GUAYAQUIL,GUAYAS,GOMEZ RENDON,A,Apr 19 2022  3:37PM,,9,1,5,,,,,,090108,OLMEDO (SAN ALEJO)
16,228,CNB0001-0001,AG CALLE SUCRE LOJA,LOJA,LOJA,CALLE SUCRE,A,Apr 19 2022  3:37PM,,11,53,5,,,,,,110101,EL SAGRARIO
17,270,CNB0001-0001,TIA AV MACHALA PASAJE,PASAJE,EL ORO,MACHALA,A,Apr 19 2022  3:37PM,,7,26,5,,,,,,070903,OCHOA LE�N (MATRIZ)
18,266,CNB0001-0001,TIA AV SEMINARIO VENTANAS,VENTANAS,LOS RIOS,AV. SEMINARIO,A,Apr 19 2022  3:37PM,,12,6,5,,,,,,120750,"VENTANAS, CABECERA CANTONAL"
19,259,CNB0001-0001,TIA CALLE SUCRE MACHALA,MACHALA,EL ORO,SUCRE,A,Apr 19 2022  3:37PM,,7,9,5,,,,,,070102,MACHALA
20,264,CNB0001-0001,TIA AV 10 DE AGOSTO RIOBAMBA,RIOBAMBA,CHIMBORAZO,10 DE AGOSTO,A,Apr 19 2022  3:37PM,,6,49,5,,,,,,060101,LIZARZABURU
21,323,CNB0001-0001,TIA AV CHONE EL CARMEN,EL CARMEN,MANABI,AV. CHONE,A,Apr 19 2022  3:37PM,,13,3,5,,,,,,130401,EL CARMEN
22,372,CNB0001-0002,SRNP VELEZ Y ASOCIADOS MILAGRO,MILAGRO,GUAYAS,JUAN MONTALVO,A,Apr 19 2022  3:37PM,,9,13,5,,,,,,091050,"MILAGRO, CABECERA CANTONAL"
23,529,CNB0001-0001,AG FIDEL ROSALES SANTA ISABEL,SANTA ISABEL,AZUAY,CALLE FIDEL ROSALES,A,Apr 19 2022  3:37PM,,1,72,5,,,,,,010850,"SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL"
24,568,CNB0001-0001,SANTA MARIA SANTA CLARA UIO,QUITO,PICHINCHA,VERSALLE,A,Apr 19 2022  3:37PM,,17,10,5,,,,,,170101,BELISARIO QUEVEDO
25,565,CNB0001-0001,TIA 24 DE MAYO SALITRE,URBINA,GUAYAS,AV. 24 DE MAYO,A,Apr 19 2022  3:37PM,,9,60,5,,,,,,091951,GRAL. VERNAZA (DOS ESTEROS)
26,741,CNB0001-0002,"SRNP DISENSA 4,5 MONTECRISTI",MONTECRISTI,MANABI,VIA MANTA - MONTECRISTI  KM 6.,A,Apr 19 2022  3:37PM,,13,81,5,,,,,,130950,"MONTECRISTI, CABECERA CANTONAL"
27,848,CNB0001-0002,SRNP DISENSA MANABI PEDERNALES,PEDERNALES,MANABI,MANABI,A,Apr 19 2022  3:37PM,,13,120,5,,,,,,131750,"PEDERNALES, CABECERA CANTONAL"
28,958,CNB0001-0002,SRNP BABY POINT DE MIRANDA KIDS MANTA,MANTA,MANABI,"AV 24 , SN, ENTRE FLAVIO ALFAR",A,Apr 19 2022  3:37PM,Dec 20 2023 10:17AM,13,37,5,958,,,,,130802,MANTA
29,962,CNB0001-0002,SRNP SANDRA ORTEGA HUAQUILLAS,HUAQUILLAS,EL ORO,"CALLE MARTHA BUCARAM , SN, CAL",A,Apr 19 2022  3:37PM,Dec 20 2023 11:04AM,7,69,5,962,,,,,070705,UNI�N LOJANA
